id;alternative_id;criteria_id;value;created_at;updated_at
82;11;2;0;03-06-2023  19:00:30;03-06-2023  19:00:30
83;11;3;512;03-06-2023  19:00:30;03-06-2023  19:00:30
84;11;4;512;03-06-2023  19:00:30;03-06-2023  19:00:30
85;11;5;0;03-06-2023  19:00:30;03-06-2023  19:00:30
86;11;6;1;03-06-2023  19:00:30;03-06-2023  19:00:30
87;11;7;0;03-06-2023  19:00:30;03-06-2023  19:00:31
88;11;8;1;03-06-2023  19:00:30;03-06-2023  19:00:32
89;12;1;1;03-06-2023  19:00:30;03-06-2023  19:00:30
90;12;2;0;03-06-2023  19:00:30;03-06-2023  19:00:30
91;12;3;512;03-06-2023  19:00:30;03-06-2023  19:00:30
92;12;4;512;03-06-2023  19:00:30;03-06-2023  19:00:30
93;12;5;0;03-06-2023  19:00:30;03-06-2023  19:00:30
94;12;6;1;03-06-2023  19:00:30;03-06-2023  19:00:30
95;12;7;0;03-06-2023  19:00:30;03-06-2023  19:00:31
96;12;8;0;03-06-2023  19:00:30;03-06-2023  19:00:32
97;13;1;1;03-06-2023  19:00:30;03-06-2023  19:00:30
98;13;2;0;03-06-2023  19:00:30;03-06-2023  19:00:30
99;13;3;512;03-06-2023  19:00:30;03-06-2023  19:00:30
100;13;4;512;03-06-2023  19:00:30;03-06-2023  19:00:30
101;13;5;0;03-06-2023  19:00:30;03-06-2023  19:00:30
102;13;6;1;03-06-2023  19:00:30;03-06-2023  19:00:30
103;13;7;0;03-06-2023  19:00:30;03-06-2023  19:00:31
104;13;8;1;03-06-2023  19:00:30;03-06-2023  19:00:32
105;14;1;1;03-06-2023  19:00:30;03-06-2023  19:00:30
106;14;2;0;03-06-2023  19:00:30;03-06-2023  19:00:30
107;14;3;512;03-06-2023  19:00:30;03-06-2023  19:00:30
108;14;4;512;03-06-2023  19:00:30;03-06-2023  19:00:30
109;14;5;0;03-06-2023  19:00:30;03-06-2023  19:00:30
110;14;6;1;03-06-2023  19:00:30;03-06-2023  19:00:30
111;14;7;0;03-06-2023  19:00:30;03-06-2023  19:00:31
112;14;8;1;03-06-2023  19:00:30;03-06-2023  19:00:32
113;15;1;1;03-06-2023  19:00:30;03-06-2023  19:00:30
114;15;2;9;03-06-2023  19:00:30;03-06-2023  19:00:30
115;15;3;128;03-06-2023  19:00:30;03-06-2023  19:00:30
116;15;4;226;03-06-2023  19:00:30;03-06-2023  19:00:30
117;15;5;0;03-06-2023  19:00:30;03-06-2023  19:00:30
118;15;6;0;03-06-2023  19:00:30;03-06-2023  19:00:30
119;15;7;0;03-06-2023  19:00:30;03-06-2023  19:00:31
120;15;8;0;03-06-2023  19:00:30;03-06-2023  19:00:32
121;16;1;1;03-06-2023  19:00:30;03-06-2023  19:00:30
122;16;2;0;03-06-2023  19:00:30;03-06-2023  19:00:30
123;16;3;128;03-06-2023  19:00:30;03-06-2023  19:00:30
124;16;4;226;03-06-2023  19:00:30;03-06-2023  19:00:30
125;16;5;0;03-06-2023  19:00:30;03-06-2023  19:00:30
126;16;6;0;03-06-2023  19:00:30;03-06-2023  19:00:30
127;16;7;0;03-06-2023  19:00:30;03-06-2023  19:00:31
128;16;8;0;03-06-2023  19:00:30;03-06-2023  19:00:32
129;17;1;1;03-06-2023  19:00:30;03-06-2023  19:00:30
130;17;2;0;03-06-2023  19:00:30;03-06-2023  19:00:30
131;17;3;256;03-06-2023  19:00:30;03-06-2023  19:00:30
132;17;4;512;03-06-2023  19:00:30;03-06-2023  19:00:30
133;17;5;0;03-06-2023  19:00:30;03-06-2023  19:00:30
134;17;6;0;03-06-2023  19:00:30;03-06-2023  19:00:30
135;17;7;0;03-06-2023  19:00:30;03-06-2023  19:00:31
136;17;8;0;03-06-2023  19:00:30;03-06-2023  19:00:32
137;18;1;1;03-06-2023  19:00:30;03-06-2023  19:00:30
138;18;2;0;03-06-2023  19:00:30;03-06-2023  19:00:30
139;18;3;128;03-06-2023  19:00:30;03-06-2023  19:00:30
140;18;4;226;03-06-2023  19:00:30;03-06-2023  19:00:30
141;18;5;0;03-06-2023  19:00:30;03-06-2023  19:00:30
142;18;6;0;03-06-2023  19:00:30;03-06-2023  19:00:30
143;18;7;0;03-06-2023  19:00:30;03-06-2023  19:00:31
144;18;8;0;03-06-2023  19:00:30;03-06-2023  19:00:32
145;19;1;1;03-06-2023  19:00:30;03-06-2023  19:00:30
146;19;2;4.5;03-06-2023  19:00:30;03-06-2023  19:00:30
147;19;3;768;03-06-2023  19:00:30;03-06-2023  19:00:30
148;19;4;226;03-06-2023  19:00:30;03-06-2023  19:00:30
149;19;5;0;03-06-2023  19:00:30;03-06-2023  19:00:30
150;19;6;0;03-06-2023  19:00:30;03-06-2023  19:00:30
151;19;7;0;03-06-2023  19:00:30;03-06-2023  19:00:31
152;19;8;0;03-06-2023  19:00:30;03-06-2023  19:00:32
153;20;1;1;03-06-2023  19:00:30;03-06-2023  19:00:30
154;20;2;0;03-06-2023  19:00:30;03-06-2023  19:00:30
155;20;3;256;03-06-2023  19:00:30;03-06-2023  19:00:30
156;20;4;500;03-06-2023  19:00:30;03-06-2023  19:00:30
157;20;5;0;03-06-2023  19:00:30;03-06-2023  19:00:30
158;20;6;0;03-06-2023  19:00:30;03-06-2023  19:00:30
159;20;7;0;03-06-2023  19:00:30;03-06-2023  19:00:31
160;20;8;0;03-06-2023  19:00:30;03-06-2023  19:00:32
161;21;1;1;03-06-2023  19:00:30;03-06-2023  19:00:30
162;21;2;0;03-06-2023  19:00:30;03-06-2023  19:00:30
163;21;3;1024;03-06-2023  19:00:30;03-06-2023  19:00:30
164;21;4;500;03-06-2023  19:00:30;03-06-2023  19:00:30
165;21;5;0;03-06-2023  19:00:30;03-06-2023  19:00:30
166;21;6;0;03-06-2023  19:00:30;03-06-2023  19:00:30
167;21;7;0;03-06-2023  19:00:30;03-06-2023  19:00:31
168;21;8;0;03-06-2023  19:00:30;03-06-2023  19:00:32
169;22;1;1;03-06-2023  19:00:30;03-06-2023  19:00:30
170;22;2;0;03-06-2023  19:00:30;03-06-2023  19:00:30
171;22;3;128;03-06-2023  19:00:30;03-06-2023  19:00:30
172;22;4;226;03-06-2023  19:00:30;03-06-2023  19:00:30
173;22;5;0;03-06-2023  19:00:30;03-06-2023  19:00:30
174;22;6;0;03-06-2023  19:00:30;03-06-2023  19:00:30
175;22;7;0;03-06-2023  19:00:30;03-06-2023  19:00:31
176;22;8;0;03-06-2023  19:00:30;03-06-2023  19:00:32
